"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 06 18:59:58 UTC 2024","Fri Dec 06 19:00:10 UTC 2024","11698","tests.ui.modules","test_pim_module","TestPimModule","","","Create valid employee",""
"passed","Fri Dec 06 18:59:37 UTC 2024","Fri Dec 06 18:59:38 UTC 2024","1159","tests.ui.e2e_tests","test_login","TestLogin","","","Demo test",""
"passed","Fri Dec 06 18:59:31 UTC 2024","Fri Dec 06 18:59:32 UTC 2024","1470","tests.ui.e2e_tests","test_login","TestLogin","","","Login valid user",""
"passed","Fri Dec 06 18:59:33 UTC 2024","Fri Dec 06 18:59:34 UTC 2024","1494","tests.ui.e2e_tests","test_login","TestLogin","","","Login user with invalid password",""
"passed","Fri Dec 06 18:59:38 UTC 2024","Fri Dec 06 18:59:39 UTC 2024","1069","tests.ui.e2e_tests","test_login","TestLogin","","","Demo test 02",""
"passed","Fri Dec 06 18:59:45 UTC 2024","Fri Dec 06 18:59:52 UTC 2024","6833","tests.ui.modules","test_admin_module","TestAdminModule","","","Add valid admin",""
"passed","Fri Dec 06 18:59:34 UTC 2024","Fri Dec 06 18:59:35 UTC 2024","1186","tests.ui.e2e_tests","test_login","TestLogin","","","Login user with invalid username",""
"failed","Fri Dec 06 18:59:35 UTC 2024","Fri Dec 06 18:59:36 UTC 2024","986","tests.ui.e2e_tests","test_login","TestLogin","","","panosik",""
